Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,3280.000000,3288.850098,3220.600098,3232.300049,3200.117188,2022849
2023-06-07,3253.000000,3278.850098,3241.000000,3274.899902,3242.292725,1567196
2023-06-08,3261.000000,3270.000000,3233.000000,3236.449951,3204.225586,1759366
2023-06-09,3245.000000,3250.000000,3205.350098,3209.300049,3177.345947,1775689
2023-06-12,3215.000000,3254.399902,3211.000000,3246.899902,3214.571289,2324605
2023-06-13,3260.000000,3265.000000,3239.000000,3243.699951,3211.403320,1371928
2023-06-14,3243.699951,3255.850098,3225.850098,3251.050049,3218.680176,1658544
2023-06-15,3245.300049,3247.449951,3210.000000,3216.300049,3207.958252,2273810
2023-06-16,3197.000000,3199.399902,3156.000000,3174.899902,3166.665283,4156189
2023-06-19,3190.000000,3214.899902,3175.000000,3210.399902,3202.073242,1468186
2023-06-20,3214.000000,3232.500000,3201.050049,3227.699951,3219.328369,1528452
2023-06-21,3250.000000,3261.399902,3223.949951,3258.199951,3249.749268,1645987
2023-06-22,3260.000000,3267.649902,3230.100098,3238.500000,3230.100586,1529603
2023-06-23,3237.300049,3249.399902,3209.149902,3216.350098,3208.008057,1119505
2023-06-26,3205.000000,3213.899902,3173.000000,3189.649902,3181.377197,1978803
2023-06-27,3202.000000,3209.649902,3182.300049,3197.350098,3189.057373,863542
2023-06-28,3197.350098,3197.350098,3197.350098,3197.350098,3189.057373,0
2023-06-30,3220.000000,3310.000000,3214.100098,3302.250000,3293.685059,2672406
2023-07-03,3314.300049,3318.800049,3268.750000,3272.300049,3263.812988,1687264
2023-07-04,3290.000000,3315.000000,3277.300049,3308.850098,3300.268066,1656681
2023-07-05,3320.000000,3329.000000,3305.000000,3319.949951,3311.339111,1453008
2023-07-06,3306.550049,3328.449951,3302.000000,3322.899902,3314.281494,1848238
2023-07-07,3302.000000,3356.899902,3302.000000,3329.250000,3320.615234,1789326
2023-07-10,3324.750000,3324.750000,3265.199951,3271.949951,3263.463623,1407431
2023-07-11,3295.000000,3295.000000,3260.800049,3272.399902,3263.912598,1110172
2023-07-12,3280.949951,3289.149902,3250.100098,3259.899902,3251.444824,1515240
2023-07-13,3284.000000,3367.449951,3272.750000,3340.550049,3331.885986,4585146
2023-07-14,3365.000000,3524.850098,3352.000000,3514.649902,3505.534180,6306101
2023-07-17,3510.000000,3549.899902,3477.050049,3491.699951,3482.643799,2743228
2023-07-18,3476.000000,3524.000000,3465.000000,3496.850098,3487.780518,2600090
2023-07-19,3500.000000,3516.850098,3445.649902,3470.050049,3461.050049,2405370
2023-07-20,3453.100098,3478.899902,3436.050049,3463.300049,3463.300049,1715404
2023-07-21,3404.050049,3434.899902,3359.050049,3368.300049,3368.300049,3770223
2023-07-24,3381.000000,3413.449951,3372.100098,3394.750000,3394.750000,1680132
2023-07-25,3397.500000,3406.800049,3380.199951,3399.149902,3399.149902,1272980
2023-07-26,3400.350098,3420.850098,3385.000000,3388.300049,3388.300049,1066803
2023-07-27,3394.949951,3411.649902,3385.050049,3396.899902,3396.899902,1701769
2023-07-28,3385.000000,3393.699951,3331.000000,3355.399902,3355.399902,2599831
2023-07-31,3364.399902,3426.649902,3360.899902,3421.449951,3421.449951,2743678
2023-08-01,3415.000000,3460.000000,3415.000000,3452.050049,3452.050049,1956167
2023-08-02,3434.949951,3446.399902,3413.600098,3440.649902,3440.649902,1914899
2023-08-03,3420.000000,3433.250000,3368.000000,3399.949951,3399.949951,2026351
2023-08-04,3401.250000,3471.000000,3401.250000,3443.550049,3443.550049,2248493
2023-08-07,3453.949951,3488.000000,3441.250000,3484.050049,3484.050049,1853889
2023-08-08,3484.050049,3489.949951,3456.600098,3470.600098,3470.600098,1634225
2023-08-09,3464.899902,3467.000000,3425.050049,3462.500000,3462.500000,1794589
2023-08-10,3450.000000,3464.899902,3430.050049,3442.100098,3442.100098,1096701
2023-08-11,3438.100098,3466.649902,3414.000000,3448.800049,3448.800049,1679974
2023-08-14,3440.699951,3455.000000,3411.000000,3449.850098,3449.850098,1190425
2023-08-16,3450.000000,3466.000000,3435.199951,3458.399902,3458.399902,1328445
2023-08-17,3455.000000,3460.800049,3413.199951,3435.750000,3435.750000,1843241
2023-08-18,3410.000000,3410.000000,3356.500000,3367.100098,3367.100098,2526749
2023-08-21,3375.000000,3409.750000,3372.000000,3401.649902,3401.649902,1375579
2023-08-22,3400.000000,3411.000000,3365.050049,3382.149902,3382.149902,1222012
2023-08-23,3388.000000,3402.000000,3376.000000,3398.250000,3398.250000,1330046
2023-08-24,3408.000000,3413.050049,3378.100098,3387.750000,3387.750000,1152881
2023-08-25,3375.000000,3385.800049,3350.250000,3381.300049,3381.300049,1158046
2023-08-28,3394.000000,3394.000000,3360.100098,3375.550049,3375.550049,1037485
2023-08-29,3381.050049,3389.550049,3365.000000,3376.149902,3376.149902,944517
2023-08-30,3398.000000,3408.100098,3383.050049,3390.949951,3390.949951,1188200
2023-08-31,3401.000000,3417.399902,3343.649902,3356.800049,3356.800049,3417652
2023-09-01,3366.000000,3389.000000,3356.800049,3379.199951,3379.199951,1277950
2023-09-04,3378.000000,3432.850098,3370.050049,3418.500000,3418.500000,1828332
2023-09-05,3420.000000,3447.000000,3405.149902,3429.350098,3429.350098,1501842
2023-09-06,3434.000000,3443.899902,3398.100098,3429.899902,3429.899902,1314818
2023-09-07,3430.800049,3460.000000,3422.300049,3455.250000,3455.250000,1885092
2023-09-08,3455.250000,3465.000000,3435.050049,3441.899902,3441.899902,1518917
2023-09-11,3462.000000,3485.699951,3445.000000,3480.649902,3480.649902,1783604
2023-09-12,3492.000000,3589.899902,3483.000000,3580.800049,3580.800049,4476016
2023-09-13,3571.100098,3588.850098,3545.000000,3567.850098,3567.850098,1754929
2023-09-14,3570.050049,3597.699951,3545.600098,3560.050049,3560.050049,2604721
2023-09-15,3567.850098,3607.350098,3562.449951,3598.300049,3598.300049,2952897
2023-09-18,3580.050049,3619.300049,3575.250000,3606.149902,3606.149902,1395753
